,ESTADO,PRODUTO,MES_ANO,VL_VENDA
0,AC,DIESEL,01/2004,1.1395348837209305
1,AC,DIESEL,01/2005,1.582608695652174
2,AC,DIESEL,01/2006,2.0
3,AC,DIESEL,01/2007,2.0
4,AC,DIESEL,01/2008,2.0
5,AC,DIESEL,01/2009,2.0
6,AC,DIESEL,01/2010,2.0
7,AC,DIESEL,01/2011,2.0
8,AC,DIESEL,01/2012,2.0
9,AC,DIESEL,01/2013,2.0
10,AC,DIESEL,01/2014,2.94
11,AC,DIESEL,01/2015,3.0
12,AC,DIESEL,01/2016,3.0
13,AC,DIESEL,01/2017,3.2285714285714286
14,AC,DIESEL,01/2018,3.981651376146789
15,AC,DIESEL,01/2019,4.0
16,AC,DIESEL,01/2020,4.0
17,AC,DIESEL,01/2021,5.0
18,AC,DIESEL,01/2022,6.588235294117647
19,AC,DIESEL,01/2023,6.5
20,AC,DIESEL,01/2024,6.9
21,AC,DIESEL,02/2004,1.0
22,AC,DIESEL,02/2005,1.4736842105263157
23,AC,DIESEL,02/2006,2.0
24,AC,DIESEL,02/2007,2.0
25,AC,DIESEL,02/2008,2.0
26,AC,DIESEL,02/2009,2.0
27,AC,DIESEL,02/2010,2.0
28,AC,DIESEL,02/2011,2.0
29,AC,DIESEL,02/2012,2.0
30,AC,DIESEL,02/2013,2.108527131782946
31,AC,DIESEL,02/2014,2.3703703703703702
32,AC,DIESEL,02/2015,3.0
33,AC,DIESEL,02/2016,3.0
34,AC,DIESEL,02/2018,4.0
35,AC,DIESEL,02/2019,4.0
36,AC,DIESEL,02/2020,3.636363636363636
37,AC,DIESEL,02/2021,5.038461538461538
38,AC,DIESEL,02/2022,6.9
39,AC,DIESEL,02/2024,7.0
40,AC,DIESEL,03/2004,1.0869565217391304
41,AC,DIESEL,03/2005,1.2467532467532467
42,AC,DIESEL,03/2006,2.0
43,AC,DIESEL,03/2007,2.0
44,AC,DIESEL,03/2008,2.0
45,AC,DIESEL,03/2009,2.0
46,AC,DIESEL,03/2010,2.0
47,AC,DIESEL,03/2011,2.0
48,AC,DIESEL,03/2012,2.0
49,AC,DIESEL,03/2013,2.0625
50,AC,DIESEL,03/2014,2.312977099236641
51,AC,DIESEL,03/2015,3.0
52,AC,DIESEL,03/2016,3.0
53,AC,DIESEL,03/2017,3.358974358974359
54,AC,DIESEL,03/2018,4.0
55,AC,DIESEL,03/2019,4.0
56,AC,DIESEL,03/2020,4.0
57,AC,DIESEL,03/2021,5.05
58,AC,DIESEL,03/2022,6.37037037037037
59,AC,DIESEL,03/2023,6.375
60,AC,DIESEL,03/2024,6.725
61,AC,DIESEL,04/2004,1.238095238095238
62,AC,DIESEL,04/2005,1.617283950617284
63,AC,DIESEL,04/2006,2.0
64,AC,DIESEL,04/2007,2.0
65,AC,DIESEL,04/2008,2.0
66,AC,DIESEL,04/2009,2.0
67,AC,DIESEL,04/2010,2.0
68,AC,DIESEL,04/2011,2.0
69,AC,DIESEL,04/2012,2.0
70,AC,DIESEL,04/2013,2.192982456140351
71,AC,DIESEL,04/2014,2.7846153846153845
72,AC,DIESEL,04/2015,3.0
73,AC,DIESEL,04/2016,3.0
74,AC,DIESEL,04/2017,3.1142857142857143
75,AC,DIESEL,04/2018,3.9669421487603302
76,AC,DIESEL,04/2019,4.0
77,AC,DIESEL,04/2020,3.925
78,AC,DIESEL,04/2021,5.375
79,AC,DIESEL,04/2022,6.8604651162790695
80,AC,DIESEL,04/2023,6.214285714285714
81,AC,DIESEL,04/2024,7.0
82,AC,DIESEL,05/2004,1.0
83,AC,DIESEL,05/2005,1.5185185185185186
84,AC,DIESEL,05/2006,2.0
85,AC,DIESEL,05/2007,2.0
86,AC,DIESEL,05/2008,2.0
87,AC,DIESEL,05/2009,2.0
88,AC,DIESEL,05/2010,2.0
89,AC,DIESEL,05/2011,2.0
90,AC,DIESEL,05/2012,2.0
91,AC,DIESEL,05/2013,2.0
92,AC,DIESEL,05/2014,2.833333333333333
93,AC,DIESEL,05/2015,3.0
94,AC,DIESEL,05/2016,3.0
95,AC,DIESEL,05/2017,4.0
96,AC,DIESEL,05/2018,3.9875
97,AC,DIESEL,05/2019,4.0
98,AC,DIESEL,05/2020,3.612903225806452
99,AC,DIESEL,05/2021,4.865384615384615
100,AC,DIESEL,05/2022,7.232142857142857
101,AC,DIESEL,05/2023,5.821428571428571
102,AC,DIESEL,05/2024,7.0
103,AC,DIESEL,06/2004,1.0606060606060606
104,AC,DIESEL,06/2005,1.346938775510204
105,AC,DIESEL,06/2006,2.0
106,AC,DIESEL,06/2007,2.0
107,AC,DIESEL,06/2008,2.0
108,AC,DIESEL,06/2009,2.0
109,AC,DIESEL,06/2010,2.0
110,AC,DIESEL,06/2011,2.0
111,AC,DIESEL,06/2012,2.0
112,AC,DIESEL,06/2013,2.098360655737705
113,AC,DIESEL,06/2014,2.372413793103448
114,AC,DIESEL,06/2015,3.0
115,AC,DIESEL,06/2016,3.0
116,AC,DIESEL,06/2017,3.2125
117,AC,DIESEL,06/2018,4.0
118,AC,DIESEL,06/2019,4.0
119,AC,DIESEL,06/2020,3.7142857142857135
120,AC,DIESEL,06/2021,5.245901639344262
121,AC,DIESEL,06/2022,6.90566037735849
122,AC,DIESEL,06/2023,6.421052631578948
123,AC,DIESEL,06/2024,6.928571428571429
124,AC,DIESEL,07/2004,1.118421052631579
125,AC,DIESEL,07/2005,1.673469387755102
126,AC,DIESEL,07/2006,2.0
127,AC,DIESEL,07/2007,2.0
128,AC,DIESEL,07/2008,2.0
129,AC,DIESEL,07/2009,2.0
130,AC,DIESEL,07/2010,2.0
131,AC,DIESEL,07/2011,2.0
132,AC,DIESEL,07/2012,2.0
133,AC,DIESEL,07/2013,2.0431654676258995
134,AC,DIESEL,07/2014,2.40625
135,AC,DIESEL,07/2015,3.0
136,AC,DIESEL,07/2016,3.0
137,AC,DIESEL,07/2017,3.772727272727273
138,AC,DIESEL,07/2018,3.975308641975309
139,AC,DIESEL,07/2019,4.0
140,AC,DIESEL,07/2020,3.88
141,AC,DIESEL,07/2021,5.358490566037736
142,AC,DIESEL,07/2022,6.857142857142857
143,AC,DIESEL,07/2023,6.05
144,AC,DIESEL,07/2024,7.0
145,AC,DIESEL,08/2004,1.1272727272727272
146,AC,DIESEL,08/2005,1.4081632653061225
147,AC,DIESEL,08/2006,2.0
148,AC,DIESEL,08/2007,2.0
149,AC,DIESEL,08/2008,2.0
150,AC,DIESEL,08/2009,2.0
151,AC,DIESEL,08/2010,2.0
152,AC,DIESEL,08/2011,2.0
153,AC,DIESEL,08/2012,2.0
154,AC,DIESEL,08/2013,2.0128205128205128
155,AC,DIESEL,08/2014,2.5806451612903225
156,AC,DIESEL,08/2015,3.0
157,AC,DIESEL,08/2016,3.0
158,AC,DIESEL,08/2017,3.283783783783784
159,AC,DIESEL,08/2018,3.9565217391304346
160,AC,DIESEL,08/2019,4.0
161,AC,DIESEL,08/2020,3.84375
162,AC,DIESEL,08/2021,5.342857142857143
163,AC,DIESEL,08/2022,6.883116883116883
164,AC,DIESEL,08/2023,6.378378378378378
165,AC,DIESEL,08/2024,7.021739130434782
166,AC,DIESEL,09/2004,1.1
167,AC,DIESEL,09/2005,1.5810810810810811
168,AC,DIESEL,09/2006,2.0
169,AC,DIESEL,09/2007,2.0
170,AC,DIESEL,09/2008,2.0
171,AC,DIESEL,09/2009,2.0
172,AC,DIESEL,09/2010,2.0
173,AC,DIESEL,09/2011,2.0
174,AC,DIESEL,09/2012,2.0
175,AC,DIESEL,09/2013,2.297872340425532
176,AC,DIESEL,09/2014,2.3389830508474576
177,AC,DIESEL,09/2015,3.0
178,AC,DIESEL,09/2016,3.0
179,AC,DIESEL,09/2017,3.023809523809524
