,ESTADO,PRODUTO,MES_ANO,VL_VENDA
407,AC,ETANOL,01/2004,1.1076923076923078
408,AC,ETANOL,01/2005,1.2222222222222223
409,AC,ETANOL,01/2006,2.0128205128205128
410,AC,ETANOL,01/2007,1.3333333333333333
411,AC,ETANOL,01/2008,1.9894736842105265
412,AC,ETANOL,01/2009,1.9333333333333331
413,AC,ETANOL,01/2010,2.0
414,AC,ETANOL,01/2011,2.0
415,AC,ETANOL,01/2012,2.060606060606061
416,AC,ETANOL,01/2013,2.0357142857142856
417,AC,ETANOL,01/2014,2.5
418,AC,ETANOL,01/2015,3.0
419,AC,ETANOL,01/2016,3.0
420,AC,ETANOL,01/2017,3.0434782608695654
421,AC,ETANOL,01/2018,3.2432432432432434
422,AC,ETANOL,01/2019,3.260869565217391
423,AC,ETANOL,01/2020,3.4
424,AC,ETANOL,01/2021,5.0344827586206895
425,AC,ETANOL,01/2022,5.545454545454546
426,AC,ETANOL,01/2023,4.0625
427,AC,ETANOL,01/2024,4.0
428,AC,ETANOL,02/2004,1.0
429,AC,ETANOL,02/2005,1.121212121212121
430,AC,ETANOL,02/2006,2.015625
431,AC,ETANOL,02/2007,1.3673469387755102
432,AC,ETANOL,02/2008,2.0
433,AC,ETANOL,02/2009,1.9782608695652173
434,AC,ETANOL,02/2010,2.0
435,AC,ETANOL,02/2011,2.0
436,AC,ETANOL,02/2012,2.0303030303030303
437,AC,ETANOL,02/2013,2.0246913580246915
438,AC,ETANOL,02/2014,2.2
439,AC,ETANOL,02/2015,2.773333333333333
440,AC,ETANOL,02/2016,3.5
441,AC,ETANOL,02/2019,3.2222222222222223
442,AC,ETANOL,02/2020,3.25
443,AC,ETANOL,02/2021,4.5625
444,AC,ETANOL,02/2022,5.357142857142857
445,AC,ETANOL,02/2024,4.230769230769231
446,AC,ETANOL,03/2004,1.2
447,AC,ETANOL,03/2005,1.1384615384615384
448,AC,ETANOL,03/2006,1.989247311827957
449,AC,ETANOL,03/2007,1.683168316831683
450,AC,ETANOL,03/2008,1.9870129870129871
451,AC,ETANOL,03/2009,1.971830985915493
452,AC,ETANOL,03/2010,2.0
453,AC,ETANOL,03/2011,2.0
454,AC,ETANOL,03/2012,2.113636363636364
455,AC,ETANOL,03/2013,2.011904761904762
456,AC,ETANOL,03/2014,2.085714285714286
457,AC,ETANOL,03/2015,2.658536585365854
458,AC,ETANOL,03/2016,3.0
459,AC,ETANOL,03/2017,3.1052631578947367
460,AC,ETANOL,03/2018,4.0
461,AC,ETANOL,03/2019,3.142857142857143
462,AC,ETANOL,03/2020,3.45
463,AC,ETANOL,03/2021,4.684210526315789
464,AC,ETANOL,03/2022,5.857142857142857
465,AC,ETANOL,03/2023,4.666666666666667
466,AC,ETANOL,03/2024,4.227272727272728
467,AC,ETANOL,04/2004,1.0
468,AC,ETANOL,04/2005,1.15
469,AC,ETANOL,04/2006,2.0
470,AC,ETANOL,04/2007,1.7741935483870968
471,AC,ETANOL,04/2008,1.984375
472,AC,ETANOL,04/2009,1.943661971830986
473,AC,ETANOL,04/2010,2.0
474,AC,ETANOL,04/2011,2.04
475,AC,ETANOL,04/2012,2.1219512195121952
476,AC,ETANOL,04/2013,2.088235294117647
477,AC,ETANOL,04/2014,2.2285714285714286
478,AC,ETANOL,04/2015,2.6666666666666665
479,AC,ETANOL,04/2016,3.0
480,AC,ETANOL,04/2017,3.022222222222222
481,AC,ETANOL,04/2018,3.26027397260274
482,AC,ETANOL,04/2019,3.090909090909091
483,AC,ETANOL,04/2020,3.095238095238096
484,AC,ETANOL,04/2021,4.95
485,AC,ETANOL,04/2022,5.5
486,AC,ETANOL,04/2023,4.0
487,AC,ETANOL,04/2024,4.818181818181818
488,AC,ETANOL,05/2004,1.08
489,AC,ETANOL,05/2005,1.1612903225806452
490,AC,ETANOL,05/2006,1.9189189189189189
491,AC,ETANOL,05/2007,1.3571428571428572
492,AC,ETANOL,05/2008,2.0
493,AC,ETANOL,05/2009,1.9047619047619049
494,AC,ETANOL,05/2010,1.9886363636363635
495,AC,ETANOL,05/2011,2.0
496,AC,ETANOL,05/2012,2.0319148936170213
497,AC,ETANOL,05/2013,2.0303030303030303
498,AC,ETANOL,05/2014,2.6
499,AC,ETANOL,05/2015,2.6511627906976742
500,AC,ETANOL,05/2016,3.05
501,AC,ETANOL,05/2018,3.193548387096774
502,AC,ETANOL,05/2019,3.217391304347826
503,AC,ETANOL,05/2020,3.4166666666666665
504,AC,ETANOL,05/2021,4.541666666666667
505,AC,ETANOL,05/2022,4.976744186046512
506,AC,ETANOL,05/2023,4.176470588235294
507,AC,ETANOL,05/2024,4.4
508,AC,ETANOL,06/2004,1.0166666666666666
509,AC,ETANOL,06/2005,1.1388888888888888
510,AC,ETANOL,06/2006,1.9322033898305084
511,AC,ETANOL,06/2007,1.9166666666666667
512,AC,ETANOL,06/2008,2.0
513,AC,ETANOL,06/2009,1.9558823529411764
514,AC,ETANOL,06/2010,2.0
515,AC,ETANOL,06/2011,2.0
516,AC,ETANOL,06/2012,2.0277777777777777
517,AC,ETANOL,06/2013,2.217391304347826
518,AC,ETANOL,06/2014,2.0638297872340425
519,AC,ETANOL,06/2015,2.64
520,AC,ETANOL,06/2016,2.9473684210526314
521,AC,ETANOL,06/2017,3.0384615384615383
522,AC,ETANOL,06/2018,3.388888888888889
523,AC,ETANOL,06/2019,3.130434782608696
524,AC,ETANOL,06/2020,3.4166666666666665
525,AC,ETANOL,06/2021,4.970588235294118
526,AC,ETANOL,06/2022,5.178571428571429
527,AC,ETANOL,06/2023,4.090909090909091
528,AC,ETANOL,06/2024,4.0
529,AC,ETANOL,07/2004,1.046875
530,AC,ETANOL,07/2005,1.3066666666666666
531,AC,ETANOL,07/2006,2.0
