,ESTADO,PRODUTO,MES_ANO,VL_VENDA
656,AC,GASOLINA,01/2004,2.0
657,AC,GASOLINA,01/2005,2.025641025641025
658,AC,GASOLINA,01/2006,2.216494845360825
659,AC,GASOLINA,01/2007,2.5428571428571427
660,AC,GASOLINA,01/2008,2.5135135135135136
661,AC,GASOLINA,01/2009,2.202127659574468
662,AC,GASOLINA,01/2010,2.5876288659793816
663,AC,GASOLINA,01/2011,2.7857142857142856
664,AC,GASOLINA,01/2012,2.980392156862745
665,AC,GASOLINA,01/2013,3.0
666,AC,GASOLINA,01/2014,3.0
667,AC,GASOLINA,01/2015,3.2142857142857144
668,AC,GASOLINA,01/2016,3.566265060240964
669,AC,GASOLINA,01/2017,4.0
670,AC,GASOLINA,01/2018,4.504347826086956
671,AC,GASOLINA,01/2019,4.381818181818182
672,AC,GASOLINA,01/2020,4.142857142857143
673,AC,GASOLINA,01/2021,5.833333333333333
674,AC,GASOLINA,01/2022,6.364864864864865
675,AC,GASOLINA,01/2023,5.193548387096774
676,AC,GASOLINA,01/2024,6.4
677,AC,GASOLINA,02/2004,2.0
678,AC,GASOLINA,02/2005,2.245614035087719
679,AC,GASOLINA,02/2006,2.392156862745098
680,AC,GASOLINA,02/2007,2.3380281690140845
681,AC,GASOLINA,02/2008,2.4794520547945207
682,AC,GASOLINA,02/2009,2.581081081081081
683,AC,GASOLINA,02/2010,2.659090909090909
684,AC,GASOLINA,02/2011,2.956043956043956
685,AC,GASOLINA,02/2012,3.0
686,AC,GASOLINA,02/2013,3.0
687,AC,GASOLINA,02/2014,3.0
688,AC,GASOLINA,02/2015,3.2481203007518795
689,AC,GASOLINA,02/2016,3.909090909090909
690,AC,GASOLINA,02/2018,4.6875
691,AC,GASOLINA,02/2019,4.112676056338028
692,AC,GASOLINA,02/2020,4.118421052631579
693,AC,GASOLINA,02/2021,5.784090909090909
694,AC,GASOLINA,02/2022,6.254901960784314
695,AC,GASOLINA,02/2024,6.619047619047619
696,AC,GASOLINA,03/2004,2.0869565217391304
697,AC,GASOLINA,03/2005,2.0
698,AC,GASOLINA,03/2006,2.3015873015873014
699,AC,GASOLINA,03/2007,2.5
700,AC,GASOLINA,03/2008,2.4414414414414414
701,AC,GASOLINA,03/2009,2.303370786516854
702,AC,GASOLINA,03/2010,2.4693877551020407
703,AC,GASOLINA,03/2011,2.8974358974358974
704,AC,GASOLINA,03/2012,3.0
705,AC,GASOLINA,03/2013,3.0
706,AC,GASOLINA,03/2014,3.0
707,AC,GASOLINA,03/2015,3.2777777777777777
708,AC,GASOLINA,03/2016,3.597560975609756
709,AC,GASOLINA,03/2017,4.0
710,AC,GASOLINA,03/2018,4.55
711,AC,GASOLINA,03/2019,4.290697674418604
712,AC,GASOLINA,03/2020,4.372093023255814
713,AC,GASOLINA,03/2021,6.0
714,AC,GASOLINA,03/2022,6.645161290322581
715,AC,GASOLINA,03/2023,6.153846153846154
716,AC,GASOLINA,03/2024,6.431818181818182
717,AC,GASOLINA,04/2004,2.232558139534884
718,AC,GASOLINA,04/2005,2.111111111111111
719,AC,GASOLINA,04/2006,2.5462962962962963
720,AC,GASOLINA,04/2007,2.274336283185841
721,AC,GASOLINA,04/2008,2.386363636363636
722,AC,GASOLINA,04/2009,2.263736263736264
723,AC,GASOLINA,04/2010,3.0
724,AC,GASOLINA,04/2011,2.888888888888889
725,AC,GASOLINA,04/2012,3.0
726,AC,GASOLINA,04/2013,3.0
727,AC,GASOLINA,04/2014,3.0
728,AC,GASOLINA,04/2015,3.25
729,AC,GASOLINA,04/2016,3.625
730,AC,GASOLINA,04/2017,4.0
731,AC,GASOLINA,04/2018,4.1640625
732,AC,GASOLINA,04/2019,4.0
